42,-82,16
38,-66,16
39,-59,16
14,-68,-1
-2,-67,-10
-4,-68,-11
1,-71,-7
1,-73,-5
-1,-75,-5
-7,-74,-9
-16,-68,-11
-29,-70,-15
-28,-68,-15
-34,-55,-8
-39,-50,1
-39,-51,3
-47,-51,17
-47,-50,24
-45,-52,39
-51,-41,33
-55,-40,23
-56,-89,5
-48,-114,0
-36,-79,4
-23,-59,7
-21,-43,5
-17,-14,3
-15,-10,2
-13,-19,2
-16,-49,0
-14,-65,2
-15,-77,13
-16,-72,17
-8,-54,22
-21,-49,22
-28,-60,23
-30,-55,26
-23,-59,25
-8,-60,26
-4,-49,25
-4,-75,19
-17,-61,28
-27,-48,34
-31,-26,34
-32,-28,30
-27,-48,23
-19,-46,20
-16,-49,15
-14,-87,14
-14,-76,18
-16,-28,18
-15,-55,10
-17,-70,9
-18,-87,9
-17,-70,12
-10,-66,9
-12,-73,6
-13,-75,5
-14,-78,9
-16,-70,14
-16,-75,16
-23,-103,12
-28,-78,25
-58,3,55
-61,18,53
-49,-10,34
-47,-28,48
-47,-48,47
-46,-78,33
-56,-70,23
-51,-53,14
-53,-41,10
-50,-41,11
-39,-55,11
-36,-58,13
-27,-62,15
-31,-62,15
-34,-60,14
-29,-56,18
-28,-53,19
-30,-51,20
-25,-54,21
-27,-56,22
-26,-52,21
-25,-51,21
-22,-50,23
-21,-49,25
-23,-50,25
-24,-49,26
-25,-49,28
-24,-51,29
-25,-53,27
-27,-52,25
-31,-52,24
-31,-51,24
-31,-50,25
-31,-52,25
-31,-52,25
-31,-51,25
-32,-51,26
-35,-43,31
-37,-39,29
-35,-38,28
-36,-38,27
-37,-40,26
-35,-44,27
-34,-40,29
-34,-38,29
-33,-36,29
-31,-37,28
-29,-38,26
-26,-40,26
-26,-43,28
-28,-56,29
-18,-90,20
-17,-95,17
-19,-101,18
-16,-115,19
-9,-116,20
-7,-107,19
-10,-90,17
-13,-78,20
-11,-73,22
-10,-65,23
-10,-60,22
-11,-50,21
-14,-46,19
-14,-42,19
-17,-37,16
-17,-36,15
-18,-37,16
-17,-39,18
-16,-37,18
-18,-32,17
-19,-34,17
-20,-41,19
-24,-49,21
-20,-54,21
-11,-48,22
-22,-33,33
-26,-46,29
-19,-54,32
-26,-59,28
-27,-50,26
-30,-47,26
-25,-48,28
-26,-53,30
-25,-53,29
-27,-46,28
-26,-49,28
-27,-48,26
-25,-47,30
-27,-50,30
-25,-49,34
-25,-50,34
-25,-42,39
-27,-39,41
-25,-37,43
-27,-40,44
-28,-38,44
-26,-37,44
-23,-38,44
-21,-37,45
-23,-36,45
-25,-34,45
-22,-38,46
-24,-38,46
-23,-37,46
-26,-34,46
-27,-33,46
-26,-38,47
-18,-34,49
-22,-42,45
-33,-43,39
-22,-32,40
-29,-62,31
-34,-41,33
-36,-41,31
-33,-43,33
-34,-43,32
-28,-42,34
-28,-44,34
-28,-45,35
-28,-45,35
-28,-45,35
-28,-44,36
-29,-44,36
-29,-44,36
-29,-45,36
-29,-45,36
-29,-46,36
-29,-45,36
-29,-45,35
-29,-45,35
-30,-44,34
-29,-44,34
-30,-45,34
-29,-45,34
-29,-45,35
-30,-44,34
-29,-44,34
-32,-45,34
-30,-45,34
-31,-44,34
-30,-44,35
-31,-45,34
-31,-45,35
-31,-45,34
-31,-44,34
-31,-44,34
-31,-44,33
-31,-44,33
-31,-44,33
-31,-44,33
-30,-44,33
-30,-44,33
-30,-44,34
-30,-44,34
-30,-44,34
-30,-44,33
-30,-45,33
-29,-45,33
-29,-46,33
-29,-47,32
-28,-47,31
-27,-47,30
-26,-48,29
-25,-47,28
-26,-46,28
-26,-46,27
-26,-47,26
-28,-46,24
-29,-47,23
-29,-46,24
-29,-47,23
-29,-50,21
-31,-50,19
-32,-53,17
-29,-55,13
-27,-54,9
-30,-66,19
-19,-47,31
-19,-48,9
-31,-52,13
-38,-61,25
-40,-77,40
-52,-68,23
-36,-56,16
-28,-62,2
-25,-62,2
-26,-58,4
-22,-58,8
-18,-59,9
-19,-55,7
-20,-54,5
-23,-56,0
-27,-56,-2
-26,-56,-2
-22,-58,1
-22,-59,3
-20,-59,9
-19,-59,14
-18,-60,16
-20,-61,14
-20,-61,13
-20,-63,10
-19,-61,9
-19,-60,8
-18,-60,8
-17,-61,7
-18,-60,5
-18,-58,5
-18,-61,4
-23,-59,5
-24,-57,5
-22,-58,6
-18,-62,7
-16,-62,7
-18,-64,9
-20,-61,9
-20,-58,7
-17,-61,8
-15,-62,7
-15,-63,6
-17,-61,6
-18,-58,6
-17,-58,6
-16,-59,5
-15,-60,5
-16,-61,5
-18,-61,6
-17,-60,6
-16,-60,7
-14,-62,8
-14,-65,8
-18,-61,9
-20,-60,7
-21,-59,6
-20,-56,7
-17,-54,6
-13,-57,2
-15,-66,1
-22,-64,3
-29,-58,3
-29,-57,3
-27,-60,4
-22,-63,4
-20,-63,4
-17,-63,5
-18,-63,5
-22,-61,6
-23,-60,6
-24,-61,5
-22,-62,6
-21,-62,7
-16,-57,7
